date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:13:15	2410985/2410985	---M--	200	added ('OK')	application/pdf	etag:%22c1d55b2f6cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/CAMUN%20newsletter%20v2.1-%20Day1.pdf	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/CAMUN%20newsletter%20v2.1-%20Day1.pdf	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:13:16	7950/7950	---M--	200	added ('OK')	text/html	etag:%22f02e323b6cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/Gallery13.html	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/Gallery13.html	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:13:17	6610/6610	---M--	200	added ('OK')	text/html	etag:%227160ac336cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/contact13.html	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/contact13.html	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:13:31	86161/86161	---M--	200	added ('OK')	image/png	etag:%22452fa25e6cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/signmain.png	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/signmain.png	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:14:09	228202/228202	---M--	200	added ('OK')	image/jpeg	etag:%22e20b85a6cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/SG.JPG	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/SG.jpg	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:14:14	22954/22954	---M--	200	added ('OK')	application/x-shockwave-flash	date:Thu,%2019%20Feb%202009%2000:32:59%20GMT	http://www.usflashmap.com/component/cdt_new/cdt2_4.swf	C:/My%20Web%20Sites/Archive/www.usflashmap.com/component/cdt_new/cdt2_4.swf	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:14:14	1955/1955	---M--	200	added ('OK')	image/png	etag:%22b3875396cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/facebook.png	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/facebook.png	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:14:15	2388/2388	---M--	200	added ('OK')	image/png	etag:%2260f060806cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/twitter.png	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/twitter.png	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:14:16	2701/2701	---M--	200	added ('OK')	image/png	etag:%22ee4ad7ab6cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/youtube.png	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/youtube.png	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:14:17	1549/1549	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Sep%202014%2016:14:16%20GMT	http://cambridgemun.org/Desktop/camun%2713/for%20the%20bar.jpg	C:/My%20Web%20Sites/Archive/cambridgemun.org/Desktop/camun'13/for%20the%20bar.1b.delayed	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/SpryAssets/SpryMenuBarVertical.css)
20:14:19	13217/13217	---M--	200	added ('OK')	image/jpeg	etag:%224dc1413a6cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/for%20the%20bar.jpg	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/for%20the%20bar.jpg	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/SpryAssets/SpryMenuBarVertical.css)
20:14:20	55/55	---M--	200	added ('OK')	image/gif	etag:%2287b797b06cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/SpryAssets/SpryMenuBarRightHover.gif	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/SpryAssets/SpryMenuBarRightHover.gif	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/SpryAssets/SpryMenuBarVertical.css)
20:14:20	1549/1549	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Sep%202014%2016:14:19%20GMT	http://cambridgemun.org/CAMUN%2013%20web%20archive/ABOUTUS.html	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/ABOUTUS.1e.delayed	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/ABOUTUS13.html)
20:14:21	1549/1549	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Sep%202014%2016:14:20%20GMT	http://cambridgemun.org/CAMUN%2013%20web%20archive/ORIGIN.html	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/ORIGIN.1f.delayed	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/ABOUTUS13.html)
20:14:22	1549/1549	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Sep%202014%2016:14:21%20GMT	http://cambridgemun.org/CAMUN%2013%20web%20archive/Secretariat.html	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/Secretariat.20.delayed	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/ABOUTUS13.html)
20:14:22	1549/1549	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Sep%202014%2016:14:21%20GMT	http://cambridgemun.org/CAMUN%2013%20web%20archive/Conference.html	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/Conference.21.delayed	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/ABOUTUS13.html)
20:14:22	1549/1549	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Sep%202014%2016:14:21%20GMT	http://cambridgemun.org/CAMUN%2013%20web%20archive/Theme.html	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/Theme.22.delayed	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/ABOUTUS13.html)
